observation_id,year,month,latitude,longitude,water_table_depth_ft,long_term_average_depth_ft,rock_type_code
438647,2022,1,39.67338889,-78.4592778,8.21,6.7102064399889,3
445787,2022,5,44.5574177,-70.7114154,7.43,10.2962455880984,8
445790,2022,5,44.9428717,-68.3951802,54.12,28.0993129126064,2
445792,2022,7,45.05039,-70.2955239,58.25,22.5916857199252,4
445794,2022,10,44.8179858,-67.8894309,18.65,1.06924504517082,8
445848,2022,4,44.31966227,-69.70564351,9.47,54.1528630015966,7
445904,2022,11,45.30393756,-68.96754264,6.05,24.9381046974595,1
446045,2022,6,45.65046958,-68.59135565,9.46,44.9961346336524,6
446106,2022,7,45.4435394,-69.65399056,6.86,16.7251791169484,3
446276,2022,4,46.85871278,-67.90304517,14.35,58.668573473699,1
446406,2022,11,46.60023482,-68.04072045,16.45,72.6757275942616,2
447185,2022,1,44.1397931041032,-70.4870028658956,10.3783870967742,12.0895866517731,8
448307,2022,1,44.874240312155,-67.8663921558273,4.83129032258064,0.00539264111472436,8
450077,2022,4,42.09015,-84.45696389,0.395,0.885027875205499,2
450159,2022,3,42.1147683,-85.3185992,12.09,5.23656881244768,1
450332,2022,4,42.15817778,-86.378925,0.3,14.2716829762158,1
451292,2022,1,42.225596,-85.6719502,8.66,25.3739038237332,1
455238,2022,1,43.5260961388179,-86.1405098305228,43.0193548387097,15.4714744157242,3
455348,2022,1,44.6558376801464,-85.3597830092892,25.7132258064516,8.41072148252328,1
455455,2022,1,46.3665189,-84.7391692,26.028064516129,4.47087518553082,1
455529,2022,1,46.406161323503,-87.4072780838163,126.603870967742,10.52491544461,6
456701,2022,9,44.42805556,-93.2394444,28.48,9.9403096460264,1
459519,2022,8,47.5703833,-95.0935139,17.7,11.3869057725789,8
459698,2022,4,47.5703722,-95.0935361,17.2,11.3869057725789,8
464441,2022,1,47.5738361,-95.0899472,29.01,14.1612407318862,8
470945,2022,4,47.65925556,-96.4104111,10.79,12.0766089527839,9
471195,2022,10,47.69030556,-96.2016278,21.61,9.82272266644471,7
472637,2022,1,45.600177,-95.709496,31.5938709677419,23.7506894349993,6
472846,2022,1,46.981689,-96.387692,7.11258064516129,1.81735011968985,8
473037,2022,5,47.596328,-95.269979,13.77,9.9542862312556,8
473237,2022,1,46.024003,-93.370057,9.26258064516129,25.3441609495025,8
473391,2022,3,45.99498,-92.90621,19.15,2.09397766226313,2
477859,2022,3,48.137973,-96.347399,9.35,7.46821638676772,8
479225,2022,7,44.705312,-96.282834,8.55,2.04710040816636,3
485016,2022,1,45.115504,-96.102801,39.2567741935484,10.6319910433819,3
485884,2022,4,43.590136,-96.014239,26.15,8.68531585746968,3
488811,2022,1,47.7412611111111,-91.9961166666667,5.56434782608696,11.0515365618384,6
489302,2022,9,36.09998056,-90.0228333,15.25,1.36965538859486,3
489916,2022,2,37.2632222,-93.2465,18,7.84014780630512,1
490068,2022,2,37.4998333,-94.2694444,284.82,21.7623316727666,3
490535,2022,4,38.6186111,-92.5213889,240.66,66.2123938938641,1
490728,2022,6,38.82392288,-92.4204648,10.29,0.0560099841641307,3
491035,2022,9,38.8533677,-92.442131,14.73,1.42922884271001,3
492916,2022,5,39.47030556,-92.2132222,132.82,43.2090997726931,2
493237,2022,1,36.049,-90.2922777777778,7.29290322580645,4.35750746388098,3
494019,2022,1,36.5756388888889,-92.6530277777778,39.2977419354839,28.5746106759819,1
494730,2022,1,36.7205833333333,-94.2051666666667,194.726129032258,19.0246465301332,1
507121,2022,1,30.59155556,-88.9068333,9.13,0.196270317411324,2
531182,2022,1,33.7058333333333,-89.7408333333333,11.0722580645161,3.77040601412351,3
531408,2022,1,34.5312085618344,-88.3583800270769,72.2548387096774,40.4365701614219,2
531522,2022,2,45.0899198,-112.6361282,175.35,40.1149772893347,4
531919,2022,5,45.6772084,-111.013835,2.28,0.927970205863971,4
532154,2022,3,45.69245019,-108.6984748,3.26,19.8779597672163,4
533294,2022,3,45.83777778,-107.6011111,5.65,0.949894859288496,4
533465,2022,5,45.9999444,-112.6616667,1.55,10.9815261349429,4
533501,2022,5,46.0021944,-112.6594722,6.82,4.70834337597231,4
534183,2022,5,46.4632817,-110.2960225,6.55,38.454955076863,3
536442,2022,7,47.0346944,-114.3508333,10.1,32.3833443540659,4
536559,2022,5,47.0351944,-114.3525278,5.37,32.3833443540659,4
537566,2022,3,48.12666667,-106.3338889,23.48,6.11125837151102,4
537576,2022,4,48.1465833,-104.6450833,20.25,8.7566310159615,4
537710,2022,4,48.53,-106.4711111,7.61,7.39362766608739,3
538044,2022,5,48.554959,-104.18183,9.89,6.28771901773524,11
538231,2022,3,46.62112925,-113.2066994,32,44.1475178045454,4
538579,2022,1,45.80254,-111.0454,56.8687096774194,0.494291952870736,4
538645,2022,3,47.0028002,-109.3428159,28.87,6.99279659813504,4
538721,2022,5,46.94732,-104.08065,38.96,32.6842054478391,3
538966,2022,1,46.25538698,-114.1551702,16.4435483870968,1.78093848693146,4
539150,2022,1,46.359151,-108.441229,144.61,157.957277513038,3
539569,2022,6,48.36987,-106.79305,48.56,71.3347763985615,3
