year,state,county_count,mean_frequency_pct,p90_frequency_pct,counties_ge_25_pct,drought_weeks,drought_level,minimum_weeks
2024,CO,64,34.994,56.038,65.625,1187,D1,4
2024,CT,9,18.029,19.245,0,86,D1,4
2024,DC,1,45.283,45.283,100,24,D1,4
2024,DE,3,35.849,38.868,100,57,D1,4
2024,FL,67,14.869,24.528,7.463,528,D1,4
2024,GA,159,17.135,33.962,27.673,1444,D1,4
2024,IA,99,53.821,68.302,100,2824,D1,4
2024,ID,44,53.345,100,84.091,1253,D1,4
2024,IL,102,25.305,33.962,53.922,1368,D1,4
2024,IN,92,27.03,39.623,55.435,1318,D1,4
2024,KS,105,64.582,86.792,99.048,3600,D1,4
2024,KY,120,17.186,26.415,10.833,1093,D1,4
2024,LA,64,23.732,35.849,39.063,805,D1,4
2024,MA,14,21.833,29.623,21.429,162,D1,4
2024,MD,24,34.119,51.698,79.167,434,D1,4
2024,ME,16,23.113,28.302,50,196,D1,4
2024,MI,83,28.575,52.83,50.602,1257,D1,4
2024,MN,87,41.184,64.151,77.011,1899,D1,4
2024,MO,115,38.95,56.604,79.13,2374,D1,4
2024,MS,82,41.855,75.472,68.293,1819,D1,4
2024,MT,56,72.608,100,89.286,2170,D1,4
2024,NC,100,20.83,28.491,29,1104,D1,4
2024,ND,53,34.283,59.623,58.491,963,D1,4
2024,NE,93,49.016,81.132,78.495,2416,D1,4
2024,NH,10,23.208,32.075,50,123,D1,4
2024,NJ,21,29.919,37.736,85.714,333,D1,4
2024,NM,33,91.252,100,100,1614,D1,4
2024,NV,17,20.977,53.208,41.176,189,D1,4
2024,NY,62,10.925,20.566,6.452,359,D1,4
2024,OH,88,36.664,50.943,81.818,1710,D1,4
2024,OK,77,44.621,62.264,88.312,1821,D1,4
2024,OR,36,35.901,74.528,58.333,685,D1,4
2024,PA,67,23.796,46.038,47.761,845,D1,4
2024,RI,5,15.849,19.245,0,42,D1,4
2024,SC,46,23.421,32.075,36.957,571,D1,4
2024,SD,66,34.22,54.717,51.515,1197,D1,4
2024,TN,95,44.548,67.925,78.947,2243,D1,4
2024,TX,254,41.495,98.868,74.016,5612,D1,4
2024,UT,29,21.861,45.283,34.483,336,D1,4
2024,VA,133,31.281,47.17,58.647,2205,D1,4
2024,VT,14,6.469,21.509,0,48,D1,4
2024,WA,39,45.622,90.566,69.231,945,D1,4
2024,WI,72,40.671,62.264,80.556,1552,D1,4
2024,WV,55,48.611,54.717,100,1417,D1,4
2024,WY,23,68.827,84.528,95.652,839,D1,4
2025,AL,67,39.088,56.226,82.09,1388,D1,4
2025,AR,75,27.597,39.623,61.333,1097,D1,4
2025,AZ,15,100,100,100,795,D1,4
2025,CA,58,27.521,88.679,34.483,846,D1,4
2025,CO,64,57.017,93.774,71.875,1934,D1,4
2025,CT,9,37.945,43.396,100,181,D1,4
2025,DC,1,60.377,60.377,100,32,D1,4
2025,DE,3,47.17,48.679,100,75,D1,4
2025,FL,67,48.634,71.698,98.507,1727,D1,4
2025,GA,159,33.749,50.943,76.101,2844,D1,4
2025,IA,99,31.751,58.868,60.606,1666,D1,4
2025,ID,44,68.353,100,93.182,1594,D1,4
2025,IL,102,43.304,67.925,82.353,2341,D1,4
2025,IN,92,27.851,58.302,54.348,1358,D1,4
2025,KS,105,33.064,66.038,47.619,1840,D1,4
2025,KY,120,6.855,13.396,0,436,D1,4
2025,LA,64,15.301,26.415,12.5,519,D1,4
2025,MA,14,45.957,76.226,64.286,341,D1,4
2025,MD,24,56.289,71.698,100,716,D1,4
2025,ME,16,63.915,77.358,100,542,D1,4
2025,MI,83,47.056,98.868,77.108,2070,D1,4
2025,MN,87,32.704,71.321,56.322,1508,D1,4
2025,MO,115,34.52,54.717,74.783,2104,D1,4
2025,MS,82,23.562,52.453,45.122,1024,D1,4
2025,MT,56,69.407,100,87.5,2060,D1,4
2025,NC,100,43.189,64.151,86,2289,D1,4
2025,ND,53,32.467,60.377,71.698,912,D1,4
2025,NE,93,66.667,100,96.774,3286,D1,4
2025,NH,10,68.491,75.472,100,363,D1,4
2025,NJ,21,60.647,75.472,100,675,D1,4
2025,NM,33,79.76,100,87.879,1395,D1,4
2025,NV,17,69.811,100,82.353,629,D1,4
2025,NY,62,28.028,45.094,58.065,921,D1,4
2025,OH,88,18.997,35.849,30.682,886,D1,4
2025,OK,77,28.522,49.057,45.455,1164,D1,4
2025,OR,36,48.585,58.491,91.667,927,D1,4
2025,PA,67,38.862,66.038,73.134,1380,D1,4
2025,RI,5,20.755,36.604,20,55,D1,4
2025,SC,46,38.884,51.887,84.783,948,D1,4
2025,SD,66,57.033,75.472,100,1995,D1,4
2025,TN,95,24.151,39.623,37.895,1216,D1,4
2025,TX,254,43.76,100,58.661,5891,D1,4
2025,UT,29,90.631,100,100,1393,D1,4
2025,VA,133,31.48,61.887,60.902,2219,D1,4
2025,VT,14,41.914,64.906,78.571,311,D1,4
2025,WA,39,66.376,94.34,100,1372,D1,4
2025,WI,72,32.285,52.83,59.722,1232,D1,4
2025,WV,55,30.703,67.17,50.909,895,D1,4
2025,WY,23,77.358,100,100,943,D1,4
